id,group,site,mound,grave,name,raion,oblast,latitude,longitude,interment,sex,age,grave_type,shaft,gangway,steps,dromos,entrance_screen,boards,organic_lining,body_position,leg_position,ochre,charcoal,chalk,fire,mask,tar,animal_bones,axe_hammer,macehead,arrowhead,spearhead,bow,bronze_knife,bola,wooden_javelin,polishing_plate,arrow_straightener,awl,grindstone,scraper,punch,hammerstone,perforator,casting_mould,tuyere,digging_tool,adze,melting_pot,flint_knife,wooden_cup,wooden_bowl,pottery,body_ornament
32,Budzhak,Purkary,1,12,Purkary 1/12,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,pit with niche,t elliptical,present,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
33,Budzhak,Purkary,1,14,Purkary 1/14,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,pit with niche,t rectangular,absent,present,present,absent,absent,absent,supine,bent,absent,present,absent,absent,present,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
34,Budzhak,Purkary,1,32,Purkary 1/32,Shtefan Vode,Moldova,46.54,29.86,single,male,adult,pit with niche,t elliptical,absent,absent,present,absent,absent,absent,supine,bent,present,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
35,Budzhak,Purkary,1,35,Purkary 1/35,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,NA,NA,absent,absent,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
36,Budzhak,Purkary,1,36,Purkary 1/36,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,pit with niche,h rectangular,absent,present,present,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
37,Budzhak,Purkary,1,37,Purkary 1/37,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,pit with niche,h elliptical,absent,present,absent,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
38,Budzhak,Purkary,1,38,Purkary 1/38,Shtefan Vode,Moldova,46.54,29.86,single,NA,NA,pit with niche,h elliptical,absent,absent,present,absent,absent,present,NA,NA,absent,present,absent,absent,absent,absent,absent,present,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent
39,Budzhak,Purkary,2,16,Purkary 2/16,Shtefan Vode,Moldova,46.54,29.86,single,NA,adult,NA,NA,absent,absent,absent,absent,absent,present,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
40,Budzhak,Purkary,5,8,Purkary 5/8,Shtefan Vode,Moldova,46.54,29.86,single,NA,juvenile,NA,NA,absent,absent,absent,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,present,absent
41,Budzhak,Talmaz,3,13,Talmaz 3/13,Shtefan Vode,Moldova,46.64,29.66,single,NA,adult,pit with niche,circular,absent,absent,present,absent,absent,absent,supine,extended,absent,present,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent
